label,text
1,買3包，有兩包爆開口！ 唔怪之得咁平......
1,"平靚正 出面500 gram仲要貴過呢度 我會瘋狂介紹俾所有朋友"
1,比左我BB仔試，佢好鍾意食，希望食左會有改善
1,用得耐都冇乜沙塵，又唔會碎曬，仲要好香豆腐味🙌🏻
1,"自己都試過好幾隻貓砂，呢隻目前係我用過入面最好用 凝結力好好，唔容易散開又真係辟到味 冇咩粉塵，價錢都合理，會再回購。"
1,有隻仔唔多飲水，佢好鐘意食依款罐罐，順便可以比佢補水份
1,"朋友返英國, 佢冇 account, 臨走前叫我幫佢買… 自己冇養貓, 幫佢買左幾款, 呢個 design 最靚, 好啱送禮用~"
1,對上兩次買真係好鮮甜，又平，又唔多縮水，但今次買無鮮味仲要腥，我已經好食得腥，仲要咁貴，我怕怕
1,我家三主子都喜歡，同時貓貓可以吸收多啲水份都唔錯，每次牠們都吃得淨淨的? 加上佢哋個理念都唔錯，希望多啲浪浪貓得比受惠❤️
1,上星期買完32蚊，今個星期有優惠50蚊兩包
1,準備回購，但因為住在村屋，HKTV MALL 不提供送貨服務，最近又忙，冇時間去自提點取貨。好彩我上網一search，發現你地有網店，滿 $500 免運費，註冊成為新會員仲有9折優惠 以後會係你地網站買，唔洗再自己搬番屋企
1,雙11成功以$200買到。品質好好，幾香魚味多湯可以補水。但我隻刁咀貓飲晒啲湯唔魚食肉，肯飲湯都算係咁。
1,這個一箱27個，跟[平]時在超市買一條12個相比，質地較粗糙，唔明白點解會有分別😅😅
1,用咗好幾隻牌子，都係哩隻最好又平又好用👍🏻👍🏻👍🏻
1,呢支嘢真係尿床救星👍🏻真係冇買錯，會keep住買。喺床墊等待20分鐘之後真係有明顯改善尿漬，雖然唔可以100%完全變返白淨，但係都明顯改善咗8成，真心讚👍🏻
1,除臭效果十分好！很少碎屑，用了這款貓砂，地下乾淨好多！沖落馬桶亦沒有沉澱，價比之前用的日本豆腐砂平得多，會一直回購！
1,用左幾年都係依款，唔錯吸水力量，低玩
1,網上購物係要方便快捷同價格相宜 一路幫襯hktvmall 雖則話自由市場自由定價 但E+真係令人覺得有D唔開心 果日發現幾間寵物店 鋪頭先係203蚊 同樣行貨 但響E到買 248/238 甚至更高⋯仲要買兩盒三盒先至便宜小小 爭的太遠了⋯藥都係 鋪頭130蚊十粒 E到要163蚊 三隻狗 長期使用⋯依條數都唔細 未話其他嘢⋯同埋等送貨時間等等⋯貴咁多 我不如出門口行三分鐘買好過！咁樣長期落去 真係會好影響我哋長期幫襯hktvmall既客人既購物意欲㗎
1,"特價嘅時候買 比寵物店買平，仲送埋上嚟~~~nice"
1,"砂夠大粒，冇咁易帶出砂兜 頭幾日十分滿意，吸味同吸水力都得 不過落砂落多左，用多過一星期左右就開始臭 正常唔過一星期就洗係冇問題"
1,"不太濕又不太乾, 好用!舊價係平, 所以呢半年不斷回購...正想回購, 但發現個價加左 80%...如果分開兩三次加去 $18, 會易啲接受囉!"
1,"用開返唔倒轉頭! 鐘意佢比較厚身又唔硬. $79/27卷一箱唔算特別平, 好處係唔使自己拎"
1,"買左好多次 唔比5星對唔住自己但屋企真係好多個膠桶啦。。。"
1,"不嬲用開好幾年，但今次買之前幾次買; 細包左好多!"
1,皮薄餡料多，餡料是韭菜肉碎。記住親熱食，凍左D油滲哂出黎。<sssss>
1,好好好好好正正正正正靚靚靚靚靚平平平平平
1,多次回購，我買是一整盒，但是來到係散裝，以前買嗰啲媽咪好喜歡食，今次呢包佢唔食裏面還有查添，因為係湯汁唔應該入邊會有渣，我試過開返舊批次去食晒，我懷疑今次嗰啲有問題，我還剩左九包
1,"$220-4包一箱，價錢平，會回購，但比某牌子相對薄一點點不是分別太大，但價錢相對平！之前用另一個牌子$85-100一包，吸量需比這個明顯多，厚一點點，但價錢差太遠如沒加價會繼續選用這個"
1,最近呢箱d湯同以前一直食開唔同左，以前d汁好似湯咁，依家一打開係淺黃色既水咁，到底係製作方法唔同左定點？因為都食左好長時間，一直都唔係咁
1,"今次特價$30, 味道仲好過以往，唔太鹹，又有雞味，D肉又滑，太抵啦!"
1,好食，新鮮！買左兩包，不過其中一包裡有一塊係魚尾部份，不是腩位。
1,送到嚟成箱凹晒，個紙箱容容爛爛，支嘢飲又係凹晒，企都企唔穩
1,睇錯價錢，以為$36 4包，原來得3包，買貴左，出面藥房賣$10元一包，貨送到時全部散開，唔合衛生，抹手紙除了抹手外，還要抹其他嘢。
1,呢個有飲開，產品本無問題，但送貨就越嚟越唔注重，收到貨壓到嚴重變形，抆都抆唔番起 😮‍💨
1,第1次買就比較咸，呢次買味道剛剛好!   手撕肉後，食幾多蒸幾多，雞油炒菜，雞骨煲湯30分鐘加冬瓜或白蘿蔔再煲15分鐘加鹽即可 &#40;味道好似海南雞飯 附送既雞湯&#41; .    ~ 三食抵玩 !!!
1,價錢平咗， 但紙質薄咗同埋有好多紙碎， 質素差
1,最初買啲品質好好，好香又有印花，之後見原箱有優惠就轉買原箱，以為係原箱平啲所以質量平平。今次轉買返呢隻，點知啲質量係同原箱一樣！買唔返最初既質量，我買得皇冠就唔係因為平，而家做唔返個個質量，我仲點買得落手？
1,一個order分2次攞，嘥時間，到達取羊架時發現現埸比網上購買平廿幾三十蚊一包，有被騙的感覺
1,有時做特價但未係最抵價～買既時候170蚊5條但過兩日再有貨上架165蚊兩條
1,包裝袋好大塵，一拎上手d手指就變左黑色!
1,呢度廣告上面個營養標籤同實物唔同，到底邊個啱。實物寫煮前係138kcal，同埋咩叫煮前煮後
1,"黑芝麻糕, 點解我覺得唔好食ga?? 人人都話好........我買緊芝麻糕時, 有個師奶不斷同我講'd芝麻糕好正', 好似食到上左癮...."
1,"買左2箱~依家先話送口罩夾,失望T^T仲要貴過依家個價買~有無得補發口罩夾?"
1,紙質沒問題，可能嗅覺比較敏感，紙巾有香味之餘，仲隱隱約約有種怪味，買0左三條，唯有用來抹野。
1,"真心一d都唔好聞，我聞都覺得勁大味，又唔係香果種！失望！係淘寶買支仲平仲香又溫和！狗狗該會難受，，拖完必須過水乾淨！！"
1,"超薄，吸水慢，如果細狗好細篤尿還可以試下，我啲mini poodle/toy poodle, 每次痾完都會濕腳......只能說一分錢 一分貨！"
1,"以前你哋公司會完整一Pat送過嚟 而家唔知點解會拆散晒.有點唔係好衛生 有一些包裝變形凹陷. 我都唔知應該點樣處理好 請你公司比一些意見"
1,唔明點解個箱爛到咁都照出貨，入面係抹面紙，感覺好污糟
1,"外包裝透明膠袋爛咗，盒爛咗令到𥚃面紙巾外露變咗有一盒唔要得。另外將三條盒紙綁埋一齊嘅透明膠紙，上面有一啲好似發霉嘅黑點，雖然未必影響使用，但就影響收貨時候嘅感覺。"
